69	Bobcats Trade Drobnjak to Hawks for Pick (AP)	AP - The Charlotte Bobcats traded center Predrag Drobnjak to the Atlanta Hawks on Monday for a second round pick in the 2005 NBA draft.
70	"Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press)"	"Canadian Press - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week."
71	China's Red Flag Linux to focus on enterprise	"Red Flag Software Co., the company behind China's leading Linux client distribution, plans to focus more on its server operating system and enterprise customers, the company's acting president said."
72	AOL Properties Sign Girafa For Thumbnail Search Images	"AOL Properties Sign Girafa For Thumbnail Search Images\\Girafa.com Inc. announced today that the CompuServe, Netscape, AIM and ICQ properties of America Online, Inc., have signed an agreement with Girafa to use Girafa's thumbnail search images as an integrated part of their search results.\\Using Girafa's thumbnail search service, search users can ..."
73	Cassini Spies Two Little Saturn Moons (AP)	"AP - NASA's Cassini spacecraft has spied two new little moons around satellite-rich Saturn, the space agency said Monday."
74	On front line of AIDS in Russia	An industrial city northwest of Moscow struggles as AIDS hits a broader population.
75	Nobel Laureate Decries Stem Cell Limits (AP)	"AP - A Nobel laureate in medicine said Monday the Bush administration's limits on funding for embryonic stem cell research effectively have stopped the clock on American scientists' efforts to develop treatments for a host of chronic, debilitating diseases."
76	Jury Can Hear of Kobe Accuser's Sex Life (AP)	"AP - Prosecutors suffered another setback Monday in the Kobe Bryant sexual assault case, losing a last-ditch attempt to keep the NBA star's lawyers from telling jurors about the alleged victim's sex life."
77	"North Korea Talks Still On, China Tells Downer (Reuters)"	"Reuters - China has said no date has been set for\working-level talks on the North Korean nuclear crisis and gave\no indication that the meeting has been canceled, Australian\Foreign Minister Alexander Downer said on Tuesday."
78	Griffin to Anchor D-Line	"The Redskins expect huge things from 300-pound Cornelius Griffin, who was signed to aid the team's weakest unit - the defensive line."
79	Last American defector in North Korea agrees to tell story (AFP)	"AFP - The last surviving American defector to communist North Korea wants to tell his story to put a human face on the Stalinist state which he believes is unfairly vilified abroad, British film-makers said."
80	Live: Olympics day four	Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.
81	"Kerry Widens Lead in California, Poll Finds (Reuters)"	"Reuters - Democratic challenger John Kerry\has a commanding lead over President Bush in California of 54\percent to 38 percent among likely voters, a poll released on\Tuesday found."
82	Capacity Crowds at Beach Volleyball Rock the Joint	" ATHENS (Reuters) - At the beach volleyball, the 2004  Olympics is a sell-out, foot-stomping success."
83	"Dollar Near Recent Lows, Awaits ZEW/CPI"	 LONDON (Reuters) - The dollar held steady near this week's  four-week low against the euro on Tuesday with investors  awaiting a German investor confidence survey and U.S. consumer  inflation numbers to shed light on the direction.
84	Intel to delay product aimed for high-definition TVs	"SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays."
85	Venezuela vote keeps Chavez as president	CARACAS -- Venezuelans voted resoundingly to keep firebrand populist Hugo Chavez as their president in a victory that drew noisy reactions yesterday from both sides in the streets. International observers certified the results as clean and accurate.
86	Jailing of HK democrat in China 'politically motivated' (AFP)	AFP - Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.
87	Kmart Swings to Profit in 2Q; Stock Surges (AP)	AP - Shares of Kmart Holding Corp. surged 17 percent Monday after the discount retailer reported a profit for the second quarter and said chairman and majority owner Edward Lampert is now free to invest the company's  #36;2.6 billion in surplus cash.
88	Fischer's Fiancee: Marriage Plans Genuine (AP)	"AP - Former chess champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid deportation to the United States, his fiancee and one of his supporters said Tuesday."
89	U.S. Misses Cut in Olympic 100 Free	"ATHENS, Greece - Top American sprinters Jason Lezak and Ian Crocker missed the cut in the Olympic 100-meter freestyle preliminaries Tuesday, a stunning blow for a country that had always done well in the event.    Pieter van den Hoogenband of the Netherlands and Australian Ian Thorpe advanced to the evening semifinal a day after dueling teenager Michael Phelps in the 200 freestyle, won by Thorpe..."
90	Consumers Would Pay In Phone Proposal	"A proposal backed by a coalition of telephone carriers would cut billions of dollars in fees owed by long-distance companies to regional phone giants but would allow the regional companies to make up some of the difference by raising monthly phone bills for millions of consumers. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"
91	U.S. Brokers Cease-fire in Western Afghanistan	" KABUL (Reuters) - The United States has brokered a  cease-fire between a renegade Afghan militia leader and the  embattled governor of the western province of Herat,  Washington's envoy to Kabul said Tuesday."
92	Sneaky Credit Card Tactics	Keep an eye on your credit card issuers -- they may be about to raise your rates.
93	Intel Delays Launch of Projection TV Chip	"In another product postponement, semiconductor giant Intel Corp. said it won't be offering a chip for projection TVs by the end of 2004 as it had announced earlier this year."
94	Fund pessimism grows	"NEW YORK (CNN/Money) - Money managers are growing more pessimistic about the economy, corporate profits and US stock market returns, according to a monthly survey by Merrill Lynch released Tuesday. "
95	Kederis proclaims innocence	Olympic champion Kostas Kederis today left hospital ahead of his date with IOC inquisitors claiming his innocence and vowing:  quot;After the crucifixion comes the resurrection. quot; ...
96	Eriksson doesn #39;t feel any extra pressure following scandal	"NEWCASTLE, England (AP) - England coach Sven-Goran Eriksson said Tuesday he isn #39;t under any extra pressure in the aftermath of a scandal that damaged the Football Association #39;s reputation. "
97	Injured Heskey to miss England friendly	"NEWCASTLE, England (AP) - Striker Emile Heskey has pulled out of the England squad ahead of Wednesday #39;s friendly against Ukraine because of a tight hamstring, the Football Association said Tuesday. "
98	"Staples Profit Up, to Enter China Market"	" NEW YORK (Reuters) - Staples Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SPLS.O target=/stocks/quickinfo/fullquote""&gt;SPLS.O&lt;/A&gt;, the top U.S.  office products retailer, on Tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing Chinese market, sending its  shares higher."
99	Delegation Is Delayed Before Reaching Najaf	"AGHDAD, Iraq, Aug. 17  A delegation of Iraqis was delayed for security reasons today but still intended to visit Najaf to try to convince a rebellious Shiite cleric and his militia to evacuate a shrine in the holy city and end ..."
100	"Consumer Prices Down, Industry Output Up"	" WASHINGTON (Reuters) - U.S. consumer prices dropped in July  for the first time in eight months as a sharp run up in energy  costs reversed, the government said in a report that suggested  a slow rate of interest rate hikes is likely."
101	"Olympic history for India, UAE"	"An Indian army major shot his way to his country #39;s first ever individual Olympic silver medal on Tuesday, while in the same event an member of Dubai #39;s ruling family became the first ever medallist from the United Arab Emirates. "
102	Home Depot Likes High Oil	"Rising fuel prices, a bugbear for most of the retail sector, are helping Home Depot (HD:NYSE - news - research), the remodeling giant that reported a surge in second-quarter earnings Tuesday and guided the rest of the year higher. "
103	China cracks down on  quot;phone sex quot; services	"BEIJING, Aug. 17 (Xinhuanet) -- China is carrying out a nationwide campaign to crack down on  quot;phone sex quot; services, paralleling another sweeping operation against Internet pornography, Minister of Information Industry Wang Xudong said here Tuesday. "
104	Surviving Biotech's Downturns	Charly Travers offers advice on withstanding the volatility of the biotech sector.
105	Mr Downer shoots his mouth off	"Just what Alexander Downer was thinking when he declared on radio last Friday that  quot;they could fire a missile from North Korea to Sydney quot; is unclear. The provocative remark, just days before his arrival yesterday on his second visit to the North Korean ..."
106	Edwards Banned from Games - Source	" ATHENS (Reuters) - World 100 meters champion Torri Edwards  will miss the Athens Olympics after her appeal against a  two-year drugs ban was dismissed on Tuesday, a source told  Reuters."
107	Stocks Climb on Drop in Consumer Prices	"NEW YORK - Stocks rose for a second straight session Tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    With gasoline prices falling to eight-month lows, the Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices..."
108	"Iliadis, Tanimoto win judo golds"	"Ilias Iliadis of Greece thrilled the home crowd Tuesday, beating Roman Gontyuk of Ukraine to win the gold medal in the 81-kilogram class. "
109	Sudan vows to restore order to Darfur but calls for African peacekeepers (AFP)	"AFP - Sudan will take the lead in restoring order to its rebellious Darfur region but needs the support of African peacekeepers and humanitarian aid, Foreign Minister Mustafa Osman Ismail said."
110	TGn Sync Proposes New WLAN Standard	The battle over home entertainment networking is heating up as a coalition proposes yet another standard for the IEEE #39;s consideration. 
111	Yahoo! Ups Ante for Small Businesses	Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...
112	IBM Buys Two Danish Services Firms	"IBM said Tuesday it has acquired a pair of Danish IT services firms as part of its effort to broaden its presence in Scandinavia. As a result of the moves, IBM will add about 3,700 IT staffers to its global head count. Financial terms of ..."
113	Motorola and HP in Linux tie-up	"Motorola plans to sell mobile phone network equipment that uses Linux-based code, a step forward in network gear makers #39; efforts to rally around a standard. "
114	Microsoft Pushes Off SP2 Release	"Microsoft will delay the release of its SP2 update for another week to fix software glitches. But not everyone is quite so eager to install the SP2 update for Windows XP. In fact, many companies have demanded the ability to prevent their ..."
115	Cassini Space Probe Spots Two New Saturn Moons (Reuters)	"Reuters - Two new moons were spotted around\Saturn by the Cassini space probe, raising the total to 33\moons for the ringed planet, NASA said on Monday."
116	Buckeyes have lots to replace but are brimming with optimism	There are remarkable similarities between the 2004 Ohio State Buckeyes and those that won the national championship just two years ago. 
117	IBM adds midrange server to eServer lineup	The new IBM Power5 eServer i5 550 also features higher performance and new virtualization capabilities that allow it to run multiple operating systems at once on separate partitions.
118	iPod Comparison	"Newsday #146;s Stephen Williams reports on seeing Sony #146;s NW-HD1 audio player in a store:  #147; #145;How #146;s it compare to the iPod? #146; I asked a salesman.  #145;Battery life is a lot longer, up to 30 hours, #146; he said.  #145;The LCD readout is kind of dim, #146; I said.   #146;Battery life is a lot longer, #146; he said.  #145;I understand it can #146;t play MP3 files, #146; I said.  #145;Battery life is a lot longer, #146; he said. #148; Aug 17"
119	Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts	"Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ..."
120	Women stumble to silver	ATHENS -- The mistakes were so minor. Carly Patterson #39;s foot scraping the lower of the uneven bars. Courtney Kupets #39; tumbling pass that ended here instead of there. Mohini Bhardwaj #39;s slight stumble on the beam. 
121	Oil prices bubble to record high	"The price of oil has continued its sharp rise overnight, closing at a record high. The main contract in New York, light sweet crude for delivery next month, has closed at a record \$US46.75 a barrel - up 70 cents on yesterday #39;s close. "
122	Notable quotes Tuesday at the Athens Olympics	" quot;It hurt like hell. I could see (Thorpe) coming up. But when I was breathing, I saw my team going crazy -- and that really kept me going. quot; ..."
123	AMD Ships Notebook Chips	"It wasn #39;t the first to go small, and it won #39;t be the biggest producer, but AMD #39;s (Quote, Chart) 64-bit 90-nanometer (nm) chips are expected to make waves in the semiconductor pool. "
124	UK charges 8 in terror plot linked to alert in US	"LONDON, AUGUST 17: Britain charged eight terror suspects on Tuesday with conspiracy to commit murder and said one had plans that could be used in striking US buildings that were the focus of security scares this month. "
125	IBM Seeks To Have SCO Claims Dismissed (NewsFactor)	"NewsFactor - IBM (NYSE: IBM) has -- again -- sought to have the pending legal claims by The SCO Group dismissed. According to a motion it filed in a U.S. district court, IBM argues that SCO has no evidence to support its claims that it appropriated confidential source code from Unix System V and placed it in Linux."
126	SUVs: Live And Let Die	NEW YORK - The newly released traffic crash fatality data have something for everyone in the debate about the safety of sport utility vehicles. 
127	Security scare as intruder dives in	A CANADIAN husband #39;s love for his wife has led to a tightening of security at all Olympic venues in Athens. 
128	"Team USA barely wins, but struggles not all players #39; fault"	"Now that everybody in and around USA Basketball has breathed a huge sigh of relief, let #39;s not get carried away. "
129	UPI NewsTrack Sports	"-- The United States men #39;s basketball team capped off a big day for the USA by fighting off Greece for a vital win, 77-71.  quot;They played with heart, quot; said Coach Larry Brown.  quot;That #39;s all you can ask. quot; ..."
130	Peace delegation leaves Najaf empty-handed as fighting continues	"BAGHDAD, Iraq - A national political conference #39;s bid to end the fighting in the Shiite Muslim holy city of Najaf appeared to have failed Tuesday. "
131	Georgian president calls for international conference on South Ossetia	"TBILISI, Georgia  Georgian President Mikhail Saakashvili appealed to world leaders Tuesday to convene an international conference on the conflict in breakaway South Ossetia, where daily exchanges of gunfire threaten to spark ..."
132	"Shelling, shooting resumes in breakaway Georgian region (AFP)"	"AFP - Georgian and South Ossetian forces overnight accused each other of trying to storm the other side's positions in Georgia's breakaway region of South Ossetia, as four Georgian soldiers were reported to be wounded."
133	"Youkilis, McCarty placed on 15-day disabled list"	"BOSTON -- It was another busy day on the medical front for the Red Sox, as a series of roster moves were announced prior to Tuesday night #39;s game against the Blue Jays. "
134	Kerry-Kerrey Confusion Trips Up Campaign (AP)	"AP - John Kerry, Bob Kerrey. It's easy to get confused."
135	Former Florida Swimming Coach Dies at 83 (AP)	"AP - William H. Harlan, the retired University of Florida swimming coach who led the Gators to eight conference titles, died Tuesday, school officials said. He was 83."
136	US Men Have Right Touch in Relay Duel Against Australia	"THENS, Aug. 17 - So Michael Phelps is not going to match the seven gold medals won by Mark Spitz. And it is too early to tell if he will match Aleksandr Dityatin, the Soviet gymnast who won eight total medals in 1980. But those were not the ..."
